"doi_prefix","issn"
"10.1564","2372-479X"
"10.24938","2148-9645"
"10.11361","0916-0647"
"10.36085","2808-5566"
"10.392","1875-0710"
"10.53591","2661-6726"
"10.5325","2689-4092"
"10.24919","2308-4855"
"10.5336","1308-7894"
"10.214","1559-3959"
"10.29228","2791-8165"
"10.15452","1803-5663"
"10.3323","0917-0480"
"10.24144","2524-0609"
"10.51202","2190-4278"
"10.4038","2513-2180"
"10.21071","1699-4949"
"10.7256","1999-2807"
"10.5965","1984-7246"
"10.15199","0033-2097"
"10.20935","2771-9359"
"10.249","0034-351X"
"10.32739","2980-1974"
"10.15351","2373-8456"
"10.251","2389-9387"
"10.21315","2180-1932"
"10.9713","0304-128X"
"10.17223","2226-308X"
"10.29","2148-7782"
"10.33578","2614-1337"
"10.1575","1226-7007"
"10.14746","2300-391X"
"10.15288","0096-882X"
"10.12957","2359-6856"
"10.2144","0736-6205"
"10.36709","2721-2963"
"10.31942","2541-5891"
"10.4011","0010-180X"
"10.30734","2548-821X"
"10.2176","0470-8105"
"10.32782","2524-0374"
"10.17665","1676-4285"
"10.5604","2544-7122"
"10.5414","1438-776X"
"10.9744","1979-570X"
"10.17743","1549-4950"
"10.2472","0514-5163"
"10.3147","0388-788X"
"10.31396","2039-0394"
"10.2466","0031-5125"
"10.4992","2433-7609"
"10.5623","1195-1036"
"10.24843","2301-7708"
"10.18224","2448-0460"
"10.21817","2319-8613"
"10.5547","0195-6574"
"10.16984","2147-835X"
"10.24275","1665-2738"
"10.25109","2525-328X"
"10.4161","1538-4047"
"10.1288","0023-852X"
"10.25699","2304-1943"
"10.5747","2526-7035"
"10.15575","2355-651X"
"10.3168","0022-0302"
"10.11157","2463-5855"
"10.34044","2452-3151"
"10.1113","0022-3751"
"10.1054","1361-2611"
"10.1521","0736-7236"
"10.1214","0090-5364"
"10.14258","1561-9451"
"10.1292","0916-7250"
"10.3314","2690-0688"
"10.5868","0013-8274"
"10.3795","1226-4881"
"10.5313","2218-6182"
"10.36908","2774-2253"
"10.3727","1525-9951"
"10.2199","0285-4945"
"10.15421","2664-5009"
"10.11604","1937-8688"
"10.15836","1848-543X"
"10.26754","2444-3751"
"10.21504","2524-2741"
"10.7861","1470-2118"
"10.58258","2548-5555"
"10.1084","1540-9538"
"10.55777","1988-8996"
"10.7153","1846-579X"
"10.36489","2675-049X"
"10.24365","2498-6666"
"10.5795","0387-1193"
"10.5489","1920-1214"
"10.2175","1938-6478"
"10.22141","2307-1397"
"10.7771","2832-9414"
"10.17224","2359-6562"
"10.17345","2014-038X"
"10.15603","2176-1094"
"10.14483","2344-8393"
"10.15448","1980-6108"
"10.32765","2654-4075"
"10.22146","2407-3733"
"10.46586","0932-2221"
"10.59403","2352-9202"
"10.24908","2371-5243"
"10.5274","0899-1502"
"10.21538","0134-4889"
"10.54563","3000-9227"
"10.4312","1854-2492"
"10.22334","2828-3325"
"10.31139","0009-479X"
"10.26417","2601-8624"
"10.29173","1916-8470"
"10.7868","0869-592X"
"10.1185","0300-7995"
"10.2116","0910-6340"
"10.22161","2456-7620"
"10.30743","2613-9340"
"10.2482","1348-9992"
"10.4333","0259-2347"
"10.31087","2587-8263"
"10.1135","0010-0765"
"10.36733","2776-9933"
"10.17212","2075-0862"
"10.2308","0148-4184"
"10.372","1475-7192"
"10.17951","2450-4866"
"10.2134","0002-1962"
"10.29303","2460-1500"
"10.5815","2074-9090"
"10.20474","2414-3111"
"10.18535","2347-176X"
"10.22204","1605-8070"
"10.24818","2668-9375"
"10.20889","1518-1219"
"10.21814","2184-562X"
"10.3987","0385-5414"
"10.25077","2656-4718"
"10.3391","1818-5487"
"10.51359","2763-8693"
"10.3156","1347-7986"
"10.15321","1301-191X"
"10.3165","0915-2245"
"10.2458","0033-8222"
"10.1081","1061-9526"
"10.2959","0957-9656"
"10.33588","0210-0010"
"10.31101","2477-8184"
"10.30831","1308-1659"
"10.37836","2309-7744"
"10.20983","2695-5938"
"10.5301","0300-8916"
"10.5594","0361-4573"
"10.1266","0021-504X"
"10.53106","1728-7618"
"10.1902","0022-3492"
"10.3367","0042-1294"
"10.2237","0719-3114"
"10.58489","2836-2217"
"10.12692","2222-5234"
"10.15376","1930-2126"
"10.54784","1990-6587"
"10.33242","2594-4932"
"10.47455","2675-0090"
"10.381","0032-5481"
"10.52445","1998-7862"
"10.17921","2447-8733"
"10.21739","1598-4869"
"10.2186","1883-177X"
"10.5296","2332-5518"
"10.29333","1305-8215"
"10.25136","2409-868X"
